Województwo,Kwartał,Rok,Ludność,Ludność_100tys
ŚLĄSKIE,2,2020,4427845,44.27845
ŚLĄSKIE,3,2020,4415402,44.15402
ŚLĄSKIE,4,2020,4412097,44.12097
ŚLĄSKIE,1,2021,4382056,43.82056
ŚLĄSKIE,2,2021,4392773,43.92773
ŚLĄSKIE,3,2021,4379225,43.79225
ŚLĄSKIE,4,2021,4375947,43.75947
ŚLĄSKIE,1,2022,4352770,43.5277
ŚLĄSKIE,2,2022,4359954,43.59954
ŚLĄSKIE,3,2022,4349958,43.49958
ŚLĄSKIE,4,2022,4346702,43.46702
ŚLĄSKIE,1,2023,4326161,43.26161
ŚLĄSKIE,2,2023,4333066,43.33066
ŚLĄSKIE,3,2023,4323366,43.23366
ŚLĄSKIE,4,2023,4320130,43.2013
ŚLĄSKIE,1,2024,4297432,42.97432
ŚLĄSKIE,2,2024,4305126,43.05126
ŚLĄSKIE,3,2024,4294656,42.94656
ŚLĄSKIE,4,2024,4291441,42.91441
ŚWIĘTOKRZYSKIE,1,2016,1255730,12.5573
ŚWIĘTOKRZYSKIE,2,2016,1254505,12.54505
ŚWIĘTOKRZYSKIE,3,2016,1253981,12.53981
ŚWIĘTOKRZYSKIE,4,2016,1252900,12.529
ŚWIĘTOKRZYSKIE,1,2017,1250550,12.5055
ŚWIĘTOKRZYSKIE,2,2017,1249710,12.4971
ŚWIĘTOKRZYSKIE,3,2017,1248809,12.48809
ŚWIĘTOKRZYSKIE,4,2017,1247732,12.47732
ŚWIĘTOKRZYSKIE,1,2018,1244350,12.4435
ŚWIĘTOKRZYSKIE,2,2018,1244383,12.44383
ŚWIĘTOKRZYSKIE,3,2018,1242617,12.42617
ŚWIĘTOKRZYSKIE,4,2018,1241546,12.41546
ŚWIĘTOKRZYSKIE,1,2019,1236748,12.36748
ŚWIĘTOKRZYSKIE,2,2019,1237369,12.37369
ŚWIĘTOKRZYSKIE,3,2019,1235026,12.35026
ŚWIĘTOKRZYSKIE,4,2019,1233961,12.33961
ŚWIĘTOKRZYSKIE,1,2020,1202294,12.02294
ŚWIĘTOKRZYSKIE,2,2020,1205002,12.05002
ŚWIĘTOKRZYSKIE,3,2020,1200619,12.00619
ŚWIĘTOKRZYSKIE,4,2020,1199584,11.99584
ŚWIĘTOKRZYSKIE,1,2021,1190376,11.90376
ŚWIĘTOKRZYSKIE,2,2021,1193218,11.93218
ŚWIĘTOKRZYSKIE,3,2021,1188718,11.88718
ŚWIĘTOKRZYSKIE,4,2021,1187693,11.87693
ŚWIĘTOKRZYSKIE,1,2022,1180825,11.80825
ŚWIĘTOKRZYSKIE,2,2022,1182161,11.82161
ŚWIĘTOKRZYSKIE,3,2022,1179181,11.79181
ŚWIĘTOKRZYSKIE,4,2022,1178164,11.78164
ŚWIĘTOKRZYSKIE,1,2023,1171138,11.71138
ŚWIĘTOKRZYSKIE,2,2023,1173285,11.73285
ŚWIĘTOKRZYSKIE,3,2023,1169507,11.69507
ŚWIĘTOKRZYSKIE,4,2023,1168499,11.68499
ŚWIĘTOKRZYSKIE,1,2024,1160607,11.60607
ŚWIĘTOKRZYSKIE,2,2024,1163001,11.63001
ŚWIĘTOKRZYSKIE,3,2024,1158990,11.5899
ŚWIĘTOKRZYSKIE,4,2024,1157991,11.57991
WARMIŃSKO-MAZURSKIE,1,2016,1437321,14.37321
WARMIŃSKO-MAZURSKIE,2,2016,1437812,14.37812
WARMIŃSKO-MAZURSKIE,3,2016,1437117,14.37117
WARMIŃSKO-MAZURSKIE,4,2016,1436367,14.36367
WARMIŃSKO-MAZURSKIE,1,2017,1434897,14.34897
WARMIŃSKO-MAZURSKIE,2,2017,1434783,14.34783
WARMIŃSKO-MAZURSKIE,3,2017,1434693,14.34693
WARMIŃSKO-MAZURSKIE,4,2017,1433945,14.33945
WARMIŃSKO-MAZURSKIE,1,2018,1429932,14.29932
WARMIŃSKO-MAZURSKIE,2,2018,1431299,14.31299
WARMIŃSKO-MAZURSKIE,3,2018,1429729,14.29729
WARMIŃSKO-MAZURSKIE,4,2018,1428983,14.28983
WARMIŃSKO-MAZURSKIE,1,2019,1423682,14.23682
WARMIŃSKO-MAZURSKIE,2,2019,1425967,14.25967
WARMIŃSKO-MAZURSKIE,3,2019,1423480,14.2348
WARMIŃSKO-MAZURSKIE,4,2019,1422737,14.22737
WARMIŃSKO-MAZURSKIE,1,2020,1386542,13.86542
WARMIŃSKO-MAZURSKIE,2,2020,1389641,13.89641
WARMIŃSKO-MAZURSKIE,3,2020,1386345,13.86345
WARMIŃSKO-MAZURSKIE,4,2020,1385622,13.85622
WARMIŃSKO-MAZURSKIE,1,2021,1375612,13.75612
WARMIŃSKO-MAZURSKIE,2,2021,1379983,13.79983
WARMIŃSKO-MAZURSKIE,3,2021,1375417,13.75417
WARMIŃSKO-MAZURSKIE,4,2021,1374699,13.74699
WARMIŃSKO-MAZURSKIE,1,2022,1367337,13.67337
WARMIŃSKO-MAZURSKIE,2,2022,1369895,13.69895
WARMIŃSKO-MAZURSKIE,3,2022,1367143,13.67143
WARMIŃSKO-MAZURSKIE,4,2022,1366430,13.6643
WARMIŃSKO-MAZURSKIE,1,2023,1358812,13.58812
WARMIŃSKO-MAZURSKIE,2,2023,1362433,13.62433
WARMIŃSKO-MAZURSKIE,3,2023,1358619,13.58619
WARMIŃSKO-MAZURSKIE,4,2023,1357910,13.5791
WARMIŃSKO-MAZURSKIE,1,2024,1350068,13.50068
WARMIŃSKO-MAZURSKIE,2,2024,1353374,13.53374
WARMIŃSKO-MAZURSKIE,3,2024,1349876,13.49876
WARMIŃSKO-MAZURSKIE,4,2024,1349172,13.49172
WIELKOPOLSKIE,1,2016,3475021,34.75021
WIELKOPOLSKIE,2,2016,3477755,34.77755
WIELKOPOLSKIE,3,2016,3480600,34.806
WIELKOPOLSKIE,4,2016,3481625,34.81625
WIELKOPOLSKIE,1,2017,3482591,34.82591
WIELKOPOLSKIE,2,2017,3484975,34.84975
WIELKOPOLSKIE,3,2017,3488183,34.88183
WIELKOPOLSKIE,4,2017,3489210,34.8921
WIELKOPOLSKIE,1,2018,3487341,34.87341
WIELKOPOLSKIE,2,2018,3490597,34.90597
WIELKOPOLSKIE,3,2018,3492941,34.92941
WIELKOPOLSKIE,4,2018,3493969,34.93969
WIELKOPOLSKIE,1,2019,3492096,34.92096
WIELKOPOLSKIE,2,2019,3495470,34.9547
WIELKOPOLSKIE,3,2019,3497703,34.97703
WIELKOPOLSKIE,4,2019,3498733,34.98733
WIELKOPOLSKIE,1,2020,3500389,35.00389
WIELKOPOLSKIE,2,2020,3510953,35.10953
WIELKOPOLSKIE,3,2020,3506010,35.0601
WIELKOPOLSKIE,4,2020,3507042,35.07042
WIELKOPOLSKIE,1,2021,3493391,34.93391
WIELKOPOLSKIE,2,2021,3502366,35.02366
WIELKOPOLSKIE,3,2021,3499000,34.99
WIELKOPOLSKIE,4,2021,3500030,35.0003
WIELKOPOLSKIE,1,2022,3486950,34.8695
WIELKOPOLSKIE,2,2022,3496307,34.96307
