Województwo,Rok,Kwartał,saldo migracji wewnętrznych
ŚWIĘTOKRZYSKIE,2021,3,-751.0
ŚWIĘTOKRZYSKIE,2021,4,-520.0
ŚWIĘTOKRZYSKIE,2022,1,-595.0
ŚWIĘTOKRZYSKIE,2022,2,-502.0
ŚWIĘTOKRZYSKIE,2022,3,-666.0
ŚWIĘTOKRZYSKIE,2022,4,-505.0
ŚWIĘTOKRZYSKIE,2023,1,-681.0
ŚWIĘTOKRZYSKIE,2023,2,-627.0
ŚWIĘTOKRZYSKIE,2023,3,-849.0
ŚWIĘTOKRZYSKIE,2023,4,-607.0
ŚWIĘTOKRZYSKIE,2024,1,-732.0
ŚWIĘTOKRZYSKIE,2024,2,-627.0
ŚWIĘTOKRZYSKIE,2024,3,-815.0
ŚWIĘTOKRZYSKIE,2024,4,-579.0
WARMIŃSKO-MAZURSKIE,2016,1,-695.0
WARMIŃSKO-MAZURSKIE,2016,2,-626.0
WARMIŃSKO-MAZURSKIE,2016,3,-827.0
WARMIŃSKO-MAZURSKIE,2016,4,-554.0
WARMIŃSKO-MAZURSKIE,2017,1,-592.0
WARMIŃSKO-MAZURSKIE,2017,2,-532.0
WARMIŃSKO-MAZURSKIE,2017,3,-745.0
WARMIŃSKO-MAZURSKIE,2017,4,-572.0
WARMIŃSKO-MAZURSKIE,2018,1,-737.0
WARMIŃSKO-MAZURSKIE,2018,2,-742.0
WARMIŃSKO-MAZURSKIE,2018,3,-1094.0
WARMIŃSKO-MAZURSKIE,2018,4,-822.0
WARMIŃSKO-MAZURSKIE,2019,1,-993.0
WARMIŃSKO-MAZURSKIE,2019,2,-905.0
WARMIŃSKO-MAZURSKIE,2019,3,-1162.0
WARMIŃSKO-MAZURSKIE,2019,4,-708.0
WARMIŃSKO-MAZURSKIE,2020,1,-635.0
WARMIŃSKO-MAZURSKIE,2020,2,-477.0
WARMIŃSKO-MAZURSKIE,2020,3,-577.0
WARMIŃSKO-MAZURSKIE,2020,4,-423.0
WARMIŃSKO-MAZURSKIE,2021,1,-557.0
WARMIŃSKO-MAZURSKIE,2021,2,-549.0
WARMIŃSKO-MAZURSKIE,2021,3,-765.0
WARMIŃSKO-MAZURSKIE,2021,4,-518.0
WARMIŃSKO-MAZURSKIE,2022,1,-544.0
WARMIŃSKO-MAZURSKIE,2022,2,-468.0
WARMIŃSKO-MAZURSKIE,2022,3,-616.0
WARMIŃSKO-MAZURSKIE,2022,4,-437.0
WARMIŃSKO-MAZURSKIE,2023,1,-519.0
WARMIŃSKO-MAZURSKIE,2023,2,-491.0
WARMIŃSKO-MAZURSKIE,2023,3,-690.0
WARMIŃSKO-MAZURSKIE,2023,4,-500.0
WARMIŃSKO-MAZURSKIE,2024,1,-588.0
WARMIŃSKO-MAZURSKIE,2024,2,-549.0
WARMIŃSKO-MAZURSKIE,2024,3,-757.0
WARMIŃSKO-MAZURSKIE,2024,4,-536.0
WIELKOPOLSKIE,2016,1,227.0
WIELKOPOLSKIE,2016,2,223.0
WIELKOPOLSKIE,2016,3,289.0
